COW,DATE,MILK,CONCENTRATED FEEDING,RELATION,PADDOCK
5,20-abr,34.0,10.0,3.4,4.0
5,27-abr,30.5,10.0,3.1,5.0
5,4-may,29.5,8.0,3.7,5.0
5,11-may,30.5,10.0,3.1,3.0
5,18-may,24.5,6.0,4.1,2.0
5,25-may,30.0,10.0,3.0,1.0
5,1-jun,32.0,10.0,3.2,1.0
5,8-jun,28.5,8.0,3.6,4.0
5,15-jun,24.0,6.0,4.0,5.0
5,23-jun,26.5,8.0,3.3,3.0
5,26-jun,25.0,8.0,3.1,0.0
5,1-jul,26.5,8.0,3.3,2.0
5,6-jul,25.5,8.0,3.2,2.0
5,13-jul,26.5,8.0,3.3,1.0
5,20-jul,26.0,8.0,3.3,4.0
5,27-jul,25.0,8.0,3.1,5.0
5,3-ago,19.0,4.0,4.8,3.0
5,10-ago,24.5,6.0,4.1,2.0
5,17-ago,25.0,8.0,3.1,0.0
5,24-ago,25.5,8.0,3.2,1.0
5,31-ago,24.5,8.0,3.1,1.0
5,6-sep,24.5,6.0,4.1,4.0
5,13-sep,24.5,6.0,4.1,5.0
5,21-sep,24.0,6.0,4.0,3.0
5,28-sep,24.0,6.0,4.0,3.0
5,4-oct,23.0,6.0,3.8,2.0
5,12-oct,21.0,6.0,3.5,1.0
5,19-oct,21.5,6.0,3.6,1.0
5,26-oct,22.0,6.0,3.7,4.0
5,2-nov,19.5,4.0,4.9,5.0
5,9-nov,21.0,6.0,3.5,3.0
5,15-nov,19.0,4.0,4.8,3.0
5,23-nov,17.0,4.0,4.3,2.0
5,30-nov,15.5,2.0,7.8,1.0
5,7-dic,16.5,4.0,4.1,4.0
5,14-dic,17.5,4.0,4.4,4.0
5,22-dic,17.5,4.0,4.4,5.0
5,28-dic,17.5,4.0,4.4,3.0
6,5-ene,44.5,12.0,3.7,2.0
6,12-ene,43.5,12.0,3.6,2.0
6,19-ene,46.5,12.0,3.9,3.0
6,26-ene,40.0,10.0,4.0,4.0
6,2-feb,42.5,12.0,3.5,5.0
6,9-feb,45.5,10.0,4.6,3.0
6,16-feb,44.0,12.0,3.7,2.0
6,23-feb,45.0,12.0,3.8,1.0
6,2-mar,43.5,12.0,3.6,0.0
6,9-mar,43.0,12.0,3.6,0.0
6,17-mar,28.0,10.0,2.8,0.0
6,23-mar,42.0,12.0,3.5,0.0
6,30-mar,38.0,12.0,3.2,0.0
6,6-abr,42.0,12.0,3.5,1.0
6,14-abr,37.5,10.0,3.8,11.0
6,20-abr,39.0,10.0,3.9,4.0
6,27-abr,35.5,10.0,3.6,5.0
6,4-may,33.5,10.0,3.4,5.0
6,11-may,37.5,10.0,3.8,3.0
6,18-may,32.0,10.0,3.2,2.0
6,25-may,33.5,10.0,3.4,1.0
6,1-jun,35.0,10.0,3.5,1.0
6,8-jun,31.0,8.0,3.9,4.0
6,15-jun,29.5,10.0,3.0,5.0
6,23-jun,33.5,10.0,3.4,3.0
6,26-jun,31.0,10.0,3.1,0.0
6,1-jul,31.5,10.0,3.2,2.0
6,6-jul,31.5,10.0,3.2,2.0
6,13-jul,30.5,10.0,3.1,1.0
6,20-jul,29.5,10.0,3.0,4.0
6,27-jul,30.0,10.0,3.0,5.0
6,3-ago,27.0,8.0,3.4,3.0
6,10-ago,27.5,8.0,3.4,2.0
6,17-ago,24.5,8.0,3.1,0.0
6,24-ago,26.0,8.0,3.3,1.0
6,31-ago,25.0,8.0,3.1,1.0
6,6-sep,24.0,6.0,4.0,4.0
6,13-sep,25.5,8.0,3.2,5.0
6,21-sep,23.5,6.0,3.9,3.0
6,28-sep,24.0,6.0,4.0,3.0
6,4-oct,26.5,8.0,3.3,2.0
6,12-oct,22.0,6.0,3.7,1.0
6,19-oct,22.0,6.0,3.7,1.0
6,26-oct,21.0,6.0,3.5,4.0
6,2-nov,19.0,4.0,4.8,5.0
6,9-nov,21.0,6.0,3.5,3.0
6,15-nov,22.0,6.0,3.7,3.0
6,23-nov,15.0,6.0,2.5,2.0
6,30-nov,19.0,4.0,4.8,1.0
6,7-dic,18.5,4.0,4.6,4.0
6,14-dic,22.0,4.0,5.5,4.0
6,22-dic,20.0,4.0,5.0,5.0
6,28-dic,19.5,4.0,4.9,3.0
7,5-ene,18.5,4.0,4.6,2.0
7,12-ene,17.0,4.0,4.3,2.0
7,19-ene,19.5,4.0,4.9,3.0
7,26-ene,17.0,4.0,4.3,4.0
7,2-feb,14.0,2.0,7.0,5.0
7,9-feb,14.5,2.0,7.3,3.0
7,16-feb,14.0,2.0,7.0,2.0
7,23-feb,11.5,2.0,5.8,1.0
7,2-mar,12.0,2.0,6.0,0.0
7,9-mar,11.0,2.0,5.5,0.0
7,17-mar,8.5,0.0,0.0,0.0
7,23-mar,8.0,0.0,0.0,0.0
7,30-mar,5.5,0.0,0.0,0.0
7,6-abr,0.0,0.0,0.0,0.0
7,14-abr,0.0,0.0,0.0,0.0
7,20-abr,0.0,0.0,0.0,0.0
7,27-abr,0.0,0.0,0.0,0.0
7,4-may,0.0,0.0,0.0,0.0
7,11-may,0.0,0.0,0.0,0.0
7,18-may,0.0,0.0,0.0,0.0
7,25-may,0.0,0.0,0.0,0.0
7,1-jun,0.0,0.0,0.0,1.0
7,8-jun,0.0,0.0,0.0,4.0
7,15-jun,0.0,0.0,0.0,5.0
7,23-jun,0.0,8.0,0.0,3.0
7,26-jun,25.0,8.0,3.1,0.0
7,1-jul,32.0,10.0,3.2,2.0
7,6-jul,32.0,10.0,3.2,2.0
7,13-jul,30.0,10.0,3.0,1.0
7,20-jul,31.0,10.0,3.1,4.0
7,27-jul,31.5,10.0,3.2,5.0
7,3-ago,32.5,10.0,3.3,3.0
7,10-ago,33.5,10.0,3.4,2.0
7,17-ago,29.0,10.0,2.9,0.0
7,24-ago,28.5,8.0,3.6,1.0
7,31-ago,34.5,10.0,3.5,1.0
7,6-sep,32.0,10.0,3.2,4.0
7,13-sep,33.5,10.0,3.4,5.0
7,21-sep,35.5,10.0,3.6,3.0
7,28-sep,33.0,10.0,3.3,3.0
7,4-oct,32.0,10.0,3.2,2.0
7,12-oct,30.5,10.0,3.1,1.0
7,19-oct,33.0,10.0,3.3,1.0
7,26-oct,31.0,10.0,3.1,4.0
7,2-nov,28.5,8.0,3.6,5.0
7,9-nov,30.5,10.0,3.1,3.0
7,15-nov,27.0,8.0,3.4,3.0
7,23-nov,20.0,8.0,2.5,2.0
7,30-nov,28.5,8.0,3.6,1.0
7,7-dic,21.5,6.0,3.6,4.0
7,14-dic,25.0,6.0,4.2,4.0
7,22-dic,28.0,8.0,3.5,5.0
7,28-dic,27.5,8.0,3.4,3.0
26,5-ene,0.0,0.0,0.0,0.0
26,12-ene,0.0,0.0,0.0,0.0
26,19-ene,0.0,0.0,0.0,0.0
26,26-ene,0.0,0.0,0.0,0.0
26,2-feb,0.0,0.0,0.0,0.0
26,9-feb,0.0,0.0,0.0,0.0
26,16-feb,0.0,0.0,0.0,0.0
26,23-feb,0.0,0.0,0.0,0.0
26,2-mar,0.0,0.0,0.0,0.0
26,9-mar,0.0,0.0,0.0,0.0
26,17-mar,0.0,0.0,0.0,0.0
26,23-mar,0.0,0.0,0.0,0.0
26,30-mar,0.0,0.0,0.0,0.0
26,6-abr,0.0,0.0,0.0,0.0
26,14-abr,0.0,0.0,0.0,0.0
26,20-abr,0.0,0.0,0.0,0.0
26,27-abr,0.0,0.0,0.0,0.0
26,4-may,0.0,0.0,0.0,0.0
26,11-may,0.0,0.0,0.0,0.0
26,18-may,0.0,0.0,0.0,0.0
26,25-may,0.0,0.0,0.0,0.0
26,1-jun,0.0,0.0,0.0,0.0
26,8-jun,0.0,0.0,0.0,0.0
26,15-jun,0.0,0.0,0.0,0.0
26,23-jun,0.0,0.0,0.0,0.0
26,26-jun,0.0,0.0,0.0,0.0
26,1-jul,0.0,0.0,0.0,0.0
26,6-jul,0.0,0.0,0.0,0.0
26,13-jul,0.0,0.0,0.0,0.0
26,20-jul,0.0,0.0,0.0,0.0
26,27-jul,0.0,0.0,0.0,0.0
26,3-ago,0.0,0.0,0.0,0.0
26,10-ago,0.0,0.0,0.0,0.0
26,17-ago,0.0,0.0,0.0,0.0
26,24-ago,0.0,0.0,0.0,0.0
26,31-ago,0.0,0.0,0.0,0.0
26,6-sep,25.0,8.0,3.1,4.0
26,13-sep,29.0,10.0,2.9,5.0
26,21-sep,28.5,8.0,3.6,3.0
26,28-sep,27.0,8.0,3.4,3.0
26,4-oct,25.5,8.0,3.2,2.0
26,12-oct,28.0,10.0,2.8,1.0
